text,id,from_user,iso_language_code
"FBI releases new details on Boston Marathon bombs: Within a day of the Oklahoma City bombing, officials had named... http://t.co/ob3pEfmK1u",324440178842296321,milwaukee_buzz,en
FBI releases new details on Boston Marathon bombs: One of the two bombs used in the Boston Marathon attacks us... http://t.co/GdWk6Fo4m1,324441529030701057,Market_JJ,en
CNN US: FBI releases new details on Boston Marathon bombs: One of the two bombs used in the Boston Marathon at... http://t.co/HCwcIDxqKR,324441544377634816,KingSinghNYC,en
"FBI releases new details on Boston Marathon bombs: Within a day of the Oklahoma City bombing, officials had na... http://t.co/B8972I7SpI",324445289912074240,fayetteville_ar,en
"FBI releases new details on Boston Marathon bombs: Within a day of the Oklahoma City bombing, officials had na... http://t.co/nGjbqMFvyH",324445292130877440,rogersarkansas,en
"rt @wmur9 FBI releases new details on Boston Marathon bombs: Within a day of the Oklahoma City bombing, offici... http://t.co/Un1fm4PwKt",324446653635522560,SeacoastTweets,en
"RT @cnnbrk: Investigators have released more information, but don't have suspect in deadly explosions at Boston Marathon. http://t.co/z5b6abGZnI",324448013999304704,MiggyBoyGirl,en
"RT @cnnbrk: Investigators have released more information, but don't have suspect in deadly explosions at Boston Marathon. http://t.co/z5b6abGZnI",324448359932887040,thelaststop1983,en
"RT @cnnbrk: Investigators have released more information, but don't have suspect in deadly explosions at Boston Marathon. http://t.co/z5b6abGZnI",324448711860158464,CTProducerDana,en
"RT @cnnbrk: Investigators have released more information, but don't have suspect in deadly explosions at Boston Marathon. http://t.co/z5b6abGZnI",324451075501457408,anams7,en
FBI releases new details on Boston Marathon bombs http://t.co/c2iYyuxv4Y,324452116863258624,setestclient,en
"RT @cnnbrk: Investigators have released more information, but don't have suspect in deadly explosions at Boston Marathon. http://t.co/z5b6abGZnI",324452781371060224,gjk2002,en
RT @TPNNtweets: Obama Regime Cut Spending for Domestic Bombing Prevention by 45% http://t.co/PsXj0WvFOG  #BostonMarathon #BostonBombings,324458862537228289,kingphoneman,en
"Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) http://t.co/6jVLrIK6rC via @HuffPostCrime",324460055724433408,m_yanagisawa,en
RT @TPNNtweets: Obama Regime Cut Spending for Domestic Bombing Prevention by 45% http://t.co/PsXj0WvFOG  #BostonMarathon #BostonBombings,324470253339959298,willie_c,en
"Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing on 04/15/13 (UPDATES) http://t.co/jVKeAIy232",324534627039588355,CollegeLifeShop,en
Boston bombing suspect caught on surveillance video: In what could be a major break in the ... http://t.co/fj6ntk3lgx bythere,324785120085176320,kymlewison,en
Boston bombing suspect caught on surveillance video: In what could be a major break in the Bos... http://t.co/PKSwaJWFY7,324785122073251840,DTNWorldNews,en
Boston bombing suspect caught on surveillance video: In what could be a major break in the Boston Marathon cas... http://t.co/4lQ4fr2wgh,324785129241341952,ThisSmileyWorld,en
Boston bombing suspect caught on surveillance video: In what could be a major break in the Boston Marathon cas... http://t.co/ouD6dtku92,324785131569168384,kencblair,en
"Boston bombing suspect caught on surveillance video - In what could be a major break in the Boston Marathon case, ... http://t.co/2sGzQt6OKe",324787508997144576,stilldre555,en
RT @AnonNewsINT: Boston bombing suspect caught on surveillance video: In what could be a major break in the Boston Marathon cas... http://t.co/lHmuuznPK8 http://t.co/Q1hyc1Smrl,324790912431583232,revolution_info,en
